1,Medium,2,1,Weak Morlock,Humanoid;,Bestiary 2 pg. 1742.0
2,Medium,1,4,Minotaur,Humanoid;,Bestiary pg. 237
3,Medium,3,-1,Predatory Rabbit,Undead;,Book of the Dead pg. 142
4,Medium,2,1,Weak Kobold Dragon Mage,Humanoid;Kobold;,Bestiary pg. 213
5,Medium,1,4,Elite Skin Beetle,Animal;Uncommon;,Pathfinder #188: They Watched the Stars pg. 89
6,Medium,3,-1,Tax Collector,Human;Humanoid;,Gamemastery Guide pg. 224
7,Medium,2,1,Weak Corrupted Retainer,Human;Humanoid;,Pathfinder #151: The Show Must Go On pg. 35
8,Medium,1,4,Weak Stone-Breasted Owl,Beast;Incorporeal;Spirit;Uncommon;,Pathfinder #188: They Watched the Stars pg. 91
9,Medium,3,-1,Snapping Turtle,Animal;,Bestiary 2 pg. 269 2.0
10,Medium,2,1,Elite Azarketi Crab Catcher,Amphibious;Azarketi;Humanoid;,Absalom, City of Lost Omens pg. 396
11,Medium,1,4,Elite Chimpanzee Visitant,Animal;Undead;,Pathfinder #152: Legacy of the Lost God pg. 83
12,Medium,3,-1,Bloodseeker,Animal;,Bestiary pg. 42
13,Medium,2,1,Goblin Dog,Animal;,Bestiary pg. 182
14,Medium,1,4,Hadrosaurid,Animal;Dinosaur;,Bestiary 2 pg. 812.0
15,Medium,3,-1,Predatory Rabbit,Undead;,Book of the Dead pg. 142
16,Medium,2,1,Elite Grindylow,Aberration;Amphibious;,Bestiary 2 pg. 138 2.0
17,Medium,1,4,Elite Mage for Hire,Human;Humanoid;,Gamemastery Guide pg. 226
18,Medium,3,-1,Weak Torchbearer,Human;Humanoid;,Gamemastery Guide pg. 216
19,Medium,2,1,Weak Kekker,Humanoid;Ratfolk;Unique;,Pathfinder #157: Devil at the Dreaming Palace pg. 34
20,Medium,1,4,Arboreal Warden,Plant;,Bestiary pg. 24
21,Medium,3,-1,Librarian,Human;Humanoid;,Gamemastery Guide pg. 240
22,Medium,2,1,Sylph Sneak,Human;Humanoid;Sylph;,Bestiary 2 pg. 2022.0
23,Medium,1,4,Elite Mosghuta, Boss Cow,Mindless;Undead;Unique;Zombie;,Pathfinder #181: Zombie Feast pg. 15
24,Medium,3,-1,Weak Torchbearer,Human;Humanoid;,Gamemastery Guide pg. 216
25,Medium,2,1,Weak Slurk,Animal;,Bestiary pg. 301
26,Medium,1,4,Weak Doorwarden,Construct;Uncommon;,Pathfinder #145: Hellknight Hill pg. 86
27,Medium,3,-1,Mitflit,Fey;Gremlin;,Bestiary pg. 192
28,Medium,2,1,Weak Sea Devil Scout,Amphibious;Humanoid;Sea Devil;,Bestiary pg. 286
29,Medium,1,4,Burglar,Human;Humanoid;,Gamemastery Guide pg. 210
30,Medium,3,-1,Weak Spellskein,Construct;Uncommon;,Pathfinder #169: Kindled Magic pg. 85
31,Hard,2,2,Wolverine,Animal;,Bestiary 2 pg. 2952.0
32,Hard,3,0,Ringhorn Ram,Animal;,Bestiary 3 pg. 212
33,Hard,4,-1,Giant Rat,Animal;,Bestiary pg. 276
34,Hard,1,5,Weak Ntavi,Human;Humanoid;Unique;,Kingmaker Companion Guide pg. 30
35,Hard,2,2,Surgeon,Human;Humanoid;,Gamemastery Guide pg. 221
36,Hard,3,0,Powderkeg Punk Gunner,Humanoid;Uncommon;,Pathfinder #178: Punks in a Powderkeg pg. 39
37,Hard,4,-1,Weak Stag Lord Bandit,Human;Humanoid;Uncommon;,Kingmaker Adventure Path pg. 177
38,Hard,1,5,Elite Bison,Animal;,Bestiary 3 pg. 32
39,Hard,2,2,Kemeneles,Human;Humanoid;,Pathfinder #157: Devil at the Dreaming Palace pg. 53
40,Hard,3,0,Pygmy Kaava,Humanoid;,The Mwangi Expanse pg. 300 2.0
41,Hard,4,-1,Thorn River Bandit,Human;Humanoid;Minion;Uncommon;,Kingmaker Adventure Path pg. -1
42,Hard,1,5,Elite Kashrishi Evaluator,Kashrishi;Rare;,Impossible Lands pg. 331
43,Hard,2,2,Weak Cockatrice,Beast;,Bestiary pg. 66
