1,Medium,2,1/4,Lemurfolk,Humanoid,ToB 271
2,Medium,1,1/2,Hobgoblin,Humanoid,MM 186
3,Medium,3,1/8,Manes,Fiend,MM 60
4,Medium,6,0,Vulture,Beast,MM 339
5,Medium,2,1/4,Elves' Shadow Fey' Elf,Humanoid,ToB 171
6,Medium,1,1/2,Blood Imp,Fiend,ToB2 103
7,Medium,3,1/8,Lymarien,Fey,ToB2 248
8,Medium,6,0,Magewright,Humanoid,Ebb 318
9,Medium,2,1/4,Acolyte,Humanoid,MM 342
10,Medium,1,1/2,Porcellina,Beast,ToB3 317
11,Medium,3,1/8,Giant Crab,Beast,MM 324
12,Medium,6,0,Cranium Rat,Beast,VGM 133
13,Medium,2,1/4,Bull,Beast,ToB2 388
14,Medium,1,1/2,Jackalwere,Humanoid,MM 193
15,Medium,3,1/8,Tribal Warrior,Humanoid,MM 350
16,Medium,6,0,Giant Fire Beetle,Beast,MM 325
17,Medium,2,1/4,Steam Mephit,Elemental,MM 217
18,Medium,1,1/2,Podling,Plant,VRgtR 227
19,Medium,3,1/8,Valenar Hawk,Fey,Ebb 312
20,Medium,6,0,Giant Fire Beetle,Beast,MM 325
21,Medium,2,1/4,Giant Wolf Spider,Beast,MM 330
22,Medium,1,1/2,Podling,Plant,VRgtR 227
23,Medium,3,1/8,Stryx,Monstrosity,ToB 369
24,Medium,6,0,Lizard,Beast,MM 332
25,Medium,2,1/4,Necrotic Tick,Beast,CC 275
26,Medium,1,1/2,Aviere,Celestial,ToB2 36
27,Medium,3,1/8,Pixie's Umbrella,Plant,ToB2 158
28,Medium,6,0,Raven,Beast,MM 335
29,Medium,2,1/4,Witchlight,Construct,ToB 409
30,Medium,1,1/2,Keyhole Dragonette,Dragon,ToB2 118
31,Hard,3,1/4,Wolpertinger,Monstrosity,CC 382
32,Hard,4,1/8,Slaad Tadpole,Aberration,MM 276
33,Hard,8,0,Octopus,Beast,MM 333
34,Hard,3,1/4,Bullywug,Humanoid,MM 35
35,Hard,4,1/8,Sniffer Beetle,Beast,ToB2 40
36,Hard,8,0,Quipper,Beast,MM 335
37,Hard,3,1/4,Giant Badger,Beast,MM 323
38,Hard,4,1/8,Climbing Vine,Plant,ToB3 85
39,Hard,8,0,Homunculus,Construct,MM 188
40,Hard,3,1/4,Blink Dog,Fey,MM 318
41,Hard,4,1/8,Lymarien,Fey,ToB2 248
42,Hard,8,0,Myconid Sprout,Plant,MM 230
43,Hard,3,1/4,Tortle,Humanoid,MTF 242
44,Hard,4,1/8,Guard,Humanoid,MM 347
45,Hard,8,0,Giant Fire Beetle,Beast,MM 325
46,Hard,3,1/4,Roachling Skirmisher,Humanoid,ToB 329
47,Hard,4,1/8,Shroud,Undead,ToB 348
48,Hard,8,0,Bilby,Beast,ToB2 388
49,Hard,3,1/4,Gray Orc,Humanoid,ToB2 284
50,Hard,4,1/8,Giant Moth,Beast,CC 178
51,Hard,8,0,Meerkat,Beast,ToB3 268
52,Hard,3,1/4,Steam Mephit,Elemental,MM 217
53,Hard,4,1/8,Poisonous Snake,Beast,MM 334
54,Hard,8,0,Owl,Beast,MM 333
55,Hard,3,1/4,Alligator,Beast,ToB2 387
56,Hard,4,1/8,Shroud,Undead,ToB 348
57,Hard,8,0,Lizard,Beast,MM 332
58,Hard,3,1/4,Mimic' Map,Aberration,ToB 289
59,Hard,4,1/8,Merfolk,Humanoid,MM 218
60,Hard,8,0,Lantern Beetle,Beast,ToB2 40
61,Deadly,1,1,Rakdos Performer,Humanoid,GGR 249
62,Deadly,2,1/2,Cockatrice,Monstrosity,MM 42
63,Deadly,6,1/8,Stirge,Beast,MM 284
64,Deadly,3,1/4,Dust Goblin,Humanoid,ToB 232
65,Deadly,1,1,Female Steeder,Monstrosity,MTF 238
66,Deadly,2,1/2,Rochade,Fey,ToB3 332
67,Deadly,6,1/8,Mule,Beast,MM 333
68,Deadly,3,1/4,Giant Frog,Beast,MM 325
69,Deadly,1,1,Death Dog,Monstrosity,MM 321
70,Deadly,2,1/2,Giant Goat,Beast,MM 326
71,Deadly,6,1/8,Climbing Vine,Plant,ToB3 85
72,Deadly,3,1/4,Riding Horse,Beast,MM 336
73,Deadly,1,1,Drake' Pact,Dragon,CC 130
74,Deadly,2,1/2,Blood Imp,Fiend,ToB2 103
75,Deadly,6,1/8,Giant Weasel,Beast,MM 329
76,Deadly,3,1/4,Drow,Humanoid,MM 128
77,Deadly,1,1,Eonic Drifter,Humanoid,ToB 177
78,Deadly,2,1/2,Skin Bat,Fiend,ToB 87
79,Deadly,6,1/8,Compsognathus,Beast,ToB2 108
80,Deadly,3,1/4,Needle Blight,Plant,MM 32
81,Deadly,1,1,Deinonychus,Beast,VGM 139
82,Deadly,2,1/2,Skulk,Humanoid,MTF 227
83,Deadly,6,1/8,Bookkeeper,Construct,CC 55
84,Deadly,3,1/4,Goreling,Undead,CC 207
85,Deadly,1,1,Wind Dragon Wyrmling,Dragon,ToB 145
86,Deadly,2,1/2,Alkonost,Monstrosity,CC 12
87,Deadly,6,1/8,Giant Crab,Beast,MM 324
88,Deadly,3,1/4,Living Shade,Fey,CC 255
89,Deadly,1,1,Brownie,Fey,ToB3 69
90,Deadly,2,1/2,Kraul Warrior,Humanoid,GGR 213
91,Insanity,1,2,Simian' Vanara,Humanoid,CC 338
92,Insanity,8,1/8,Flumph,Aberration,MM 135
93,Insanity,3,1/2,Satyr,Fey,MM 267
94,Insanity,6,1/4,Giant Honey Bee,Beast,ToB2 392
95,Insanity,2,1,Clockwork Leech,Construct,ToB2 66
96,Insanity,1,2,Nehekhara Liche Acolyte,Undead,TombKings 6
97,Insanity,8,1/8,Cultist,Humanoid,MM 345
98,Insanity,3,1/2,Tridrone,Construct,MM 225
99,Insanity,6,1/4,Tortle,Humanoid,MTF 242
100,Insanity,2,1,Giant Eagle,Beast,MM 324
101,Medium,1,1,Dogmole,Beast,ToB 120
102,Medium,3,1/4,Giant Centipede,Beast,MM 323
103,Medium,2,1/2,Bone Crab,Beast,ToB 40
104,Medium,6,1/8,Flying Snake,Beast,MM 322
105,Medium,1,1,Clockwork Soldier,Construct,CC 65
106,Medium,3,1/4,Wolpertinger,Monstrosity,CC 382
107,Medium,2,1/2,Nehekhara Archer,Undead,TombKings 7
108,Medium,6,1/8,Monodrone,Construct,MM 224
109,Medium,1,1,Ratfolk Rogue,Humanoid,ToB 320
110,Medium,3,1/4,Drow,Humanoid,MM 128
111,Medium,2,1/2,Cavefish Zombie,Undead,ToB2 384
112,Medium,6,1/8,Edjet Initiate,Humanoid,ToB2 131
113,Medium,1,1,Death Dog,Monstrosity,MM 321
114,Medium,3,1/4,Pteranodon,Beast,MM 80
115,Medium,2,1/2,Servitor Rakshasa,Fiend,ToB3 329
116,Medium,6,1/8,Bandit,Humanoid,MM 343
117,Medium,1,1,Chamrosh,Celestial,ToB2 59
118,Medium,3,1/4,Winged Kobold,Humanoid,MM 195
119,Medium,2,1/2,Puffinfolk,Humanoid,ToB3 322
120,Medium,6,1/8,Blood Hawk,Beast,MM 319
121,Medium,1,1,Cloudhoof Assassin,Beast,ToB3 91
122,Medium,3,1/4,Xanka,Construct,ToB 411
123,Medium,2,1/2,Simian' Kapi,Humanoid,CC 336
124,Medium,6,1/8,Ice Bogie,Fey,ToB2 209
125,Medium,1,1,Anophiloi,Monstrosity,CC 39
126,Medium,3,1/4,Grove Bear,Beast,ToB2 394
127,Medium,2,1/2,Gray Ooze,Ooze,MM 243
128,Medium,6,1/8,Valenar Hawk,Fey,Ebb 312
129,Medium,1,1,Firenewt Warlock of Imix,Humanoid,VGM 143
130,Medium,3,1/4,Ratfolk,Humanoid,ToB 320
131,Hard,4,1/4,Ghoul Bat,Undead,ToB2 391
132,Hard,3,1/2,Attercroppe,Fey,ToB2 32
133,Hard,6,1/8,Compsognathus,Beast,ToB2 108
134,Hard,4,1/4,Servitor Thrull,Construct,GGR 221
135,Hard,3,1/2,Attercroppe,Fey,ToB2 32
136,Hard,6,1/8,Camel,Beast,MM 320
137,Hard,4,1/4,Kobold Inventor,Humanoid,VGM 166
138,Hard,3,1/2,Clockwork Watchman,Construct,ToB 65
139,Hard,6,1/8,Flying Snake,Beast,MM 322
140,Hard,4,1/4,Treacle,Ooze,ToB 387
141,Hard,3,1/2,Void Cultist,Humanoid,CC 407
142,Hard,6,1/8,Wharfling,Beast,ToB 407
143,Hard,4,1/4,Holler Spider,Beast,ToB2 395
144,Hard,3,1/2,Brain Hood,Aberration,ToB2 50
145,Hard,6,1/8,Wharfling,Beast,ToB 407
146,Hard,4,1/4,Garroter Crab,Beast,ToB 208
147,Hard,3,1/2,Chupacabra,Monstrosity,CC 63
148,Hard,6,1/8,Bandit,Humanoid,MM 343
149,Hard,4,1/4,Steam Mephit,Elemental,MM 217
150,Hard,3,1/2,Cackling Skeleton,Undead,ToB2 330
151,Hard,6,1/8,Kobold,Humanoid,MM 195
152,Hard,4,1/4,Dipsa,Ooze,ToB 118
153,Hard,3,1/2,Rum Gremlin,Fey,ToB 239
154,Hard,6,1/8,Valenar Hawk,Fey,Ebb 312
155,Hard,4,1/4,Dinosaur' Archaeopteryx,Beast,CC 108
156,Hard,3,1/2,Vine Blight,Plant,MM 32
157,Hard,6,1/8,Guard,Humanoid,MM 347
158,Hard,4,1/4,Metallic Warbler,Construct,FToD 210
159,Hard,3,1/2,Ape,Beast,MM 317
160,Hard,6,1/8,Mule,Beast,MM 333
161,Deadly,1,2,Bannik,Fey,ToB3 51
162,Deadly,2,1,Nyx-Fleece Ram,Monstrosity,MOoT 233
163,Deadly,3,1/2,Scout,Humanoid,MM 349
164,Deadly,6,1/4,Giant Wolf Spider,Beast,MM 330
165,Deadly,8,1/8,Merfolk,Humanoid,MM 218
166,Deadly,1,2,Orc Claw of Luthic,Humanoid,VGM 183
167,Deadly,2,1,Brown Bear,Beast,MM 319
168,Deadly,3,1/2,Cackler,Fiend,GGR 195
169,Deadly,6,1/4,Goblin,Humanoid,MM 166
170,Deadly,8,1/8,Fennec Fox,Beast,ToB2 390
171,Deadly,1,2,Intellect Devourer,Aberration,MM 191
172,Deadly,2,1,Pestilence Swarm,Beast,ToB2 294
173,Deadly,3,1/2,Death's Head,Undead,VRgtR 232
174,Deadly,6,1/4,Dipsa,Ooze,ToB 118
175,Deadly,8,1/8,Dolphin,Beast,VGM 208
176,Deadly,1,2,Lady in White,Undead,CC 246
177,Deadly,2,1,Copper Dragon Wyrmling,Dragon,MM 112
178,Deadly,3,1/2,Bucca,Fey,ToB 46
179,Deadly,6,1/4,Giant Frog,Beast,MM 325
180,Deadly,8,1/8,Giant Moth,Beast,CC 178
181,Deadly,1,2,White Stag,Celestial,CC 379
182,Deadly,2,1,Cloudhoof Assassin,Beast,ToB3 91
183,Deadly,3,1/2,Draconian Foot Soldier,Monstrosity,FToD 178
184,Deadly,6,1/4,Dust Goblin,Humanoid,ToB 232
185,Deadly,8,1/8,Valenar Hawk,Fey,Ebb 312
186,Deadly,1,2,Doppelrat,Monstrosity,ToB 123
187,Deadly,2,1,Returned Sentry,Undead,MOoT 241
188,Deadly,3,1/2,Magma Mephit,Elemental,MM 216
189,Deadly,6,1/4,Giant Gray Owl,Beast,ToB2 394
190,Deadly,8,1/8,Pixie's Umbrella,Plant,ToB2 158
191,Insanity,2,2,Ettercap,Monstrosity,MM 131
192,Insanity,24,0,Scorpion,Beast,MM 337
193,Insanity,8,1/4,Roachling Skirmisher,Humanoid,ToB 329
194,Insanity,3,1,Stone Creeper,Plant,ToB2 339
195,Insanity,6,1/2,Thug,Humanoid,MM 350
196,Insanity,2,2,Dokkaebi,Fey,ToB3 137
197,Insanity,24,0,Raven,Beast,MM 335
198,Insanity,8,1/4,Erina Scrounger,Humanoid,ToB 178
199,Insanity,3,1,Nilbog,Humanoid,VGM 182
200,Insanity,6,1/2,Skulk,Humanoid,MTF 227
201,Medium,4,1/4,Gray Orc,Humanoid,ToB2 284
202,Medium,3,1/2,Podling,Plant,VRgtR 227
203,Medium,6,1/8,Slaad Tadpole,Aberration,MM 276
204,Medium,4,1/4,Hinderling,Fey,ToB3 232
205,Medium,3,1/2,Sahuagin,Humanoid,MM 263
206,Medium,6,1/8,Tribal Warrior,Humanoid,MM 350
207,Medium,4,1/4,Shiftshroom,Plant,ToB2 159
208,Medium,3,1/2,Servitor Rakshasa,Fiend,ToB3 329
209,Medium,6,1/8,Boggle,Fey,VGM 128
210,Medium,4,1/4,Male Steeder,Monstrosity,MTF 238
211,Medium,3,1/2,Giant Goat,Beast,MM 326
212,Medium,6,1/8,Camel,Beast,MM 320
213,Medium,4,1/4,Biting Gnat Swarm,Beast,ToB3 360
214,Medium,3,1/2,Servitor Rakshasa,Fiend,ToB3 329
215,Medium,6,1/8,Tribal Warrior,Humanoid,MM 350
216,Medium,4,1/4,Tortle,Humanoid,MTF 242
217,Medium,3,1/2,Kobold Speelclerk,Humanoid,ToB2 232
218,Medium,6,1/8,Climbing Vine,Plant,ToB3 85
219,Medium,4,1/4,Servitor Thrull,Construct,GGR 221
220,Medium,3,1/2,Greed Swarm,Construct,ToB2 184
221,Medium,6,1/8,Neogi Hatchling,Aberration,VGM 179
