1,Medium,2,1/8,Bandit,Humanoid,MM 343,2,1/4,Anarch,Humanoid,GGR 239
2,Medium,1,1/4,Giant Gray Owl,Beast,ToB2 394,1,1,Caretaker Weevil,Beast,ToB3 73
3,Medium,10,0,Zoog,Aberration,CC 396
4,Medium,4,1/8,Pony,Beast,MM 335,1,1/4,Biting Gnat Swarm,Beast,ToB3 360
5,Medium,5,0,Homunculus,Construct,MM 188,2,1/8,Monodrone,Construct,MM 224
6,Medium,2,1/8,Blood Hawk,Beast,MM 319,1,1,Bastet Temple Cat,Beast,ToB 32
7,Medium,5,0,Rat,Beast,MM 335,1,1/2,Giant Goat,Beast,MM 326
8,Medium,2,1/8,Stirge,Beast,MM 284,2,1/4,Musk Deer,Beast,ToB3 282
9,Medium,1,1/4,Riding Horse,Beast,MM 336,1,1,Giant Toad,Beast,MM 329
10,Medium,10,0,Homunculus,Construct,MM 188
11,Medium,4,1/8,Twig Blight,Plant,MM 32,1,1/4,Vegepygmy,Plant,VGM 196
12,Medium,5,0,Badger,Beast,MM 318,2,1/8,Mule,Beast,MM 333
13,Medium,2,1/8,Xvart,Humanoid,VGM 200,1,1,Grung Wildling,Humanoid,VGM 157
14,Medium,5,0,Hawk,Beast,MM 330,1,1/2,Giant Goat,Beast,MM 326
15,Medium,2,1/8,Lymarien,Fey,ToB2 248,2,1/4,Pixie,Fey,MM 253
16,Medium,1,1/4,Treacle,Ooze,ToB 387,1,1,Ooze' Alchemical App,Ooze,CC 281
17,Medium,10,0,Jackal,Beast,MM 331
18,Medium,4,1/8,Stryx,Monstrosity,ToB 369,1,1/4,Male Steeder,Monstrosity,MTF 238
19,Medium,5,0,Lizard,Beast,MM 332,2,1/8,Leonino,Beast,CC 250
20,Medium,2,1/8,Pixie's Umbrella,Plant,ToB2 158,1,1,Mandrake' Great,Plant,CC 260
21,Medium,5,0,Jackal,Beast,MM 331,1,1/2,Swarm of Rot Grubs,Beast,VGM 208
22,Medium,2,1/8,Merfolk,Humanoid,MM 218,2,1/4,Gray Orc,Humanoid,ToB2 284
23,Medium,1,1/4,Treacle,Ooze,ToB 387,1,1,Doppelixir,Ooze,ToB3 139
24,Medium,10,0,Goat,Beast,MM 330
25,Medium,4,1/8,Xvart,Humanoid,VGM 200,1,1/4,Harefolk,Humanoid,ToB2 194
26,Medium,5,0,Sea Horse,Beast,MM 337,2,1/8,Leonino,Beast,CC 250
27,Medium,2,1/8,Giant Weasel,Beast,MM 329,1,1,Pestilence Swarm,Beast,ToB2 294
28,Medium,5,0,Octopus,Beast,MM 333,1,1/2,Dire Rat,Beast,Skaven 15
29,Medium,2,1/8,Neogi Hatchling,Aberration,VGM 179,2,1/4,Mimic' Map,Aberration,ToB 289
30,Medium,1,1/4,Giant Wolf Spider,Beast,MM 330,1,1,Giant Snow Beetle,Beast,ToB2 39
31,Hard,3,1/8,Stryx,Monstrosity,ToB 369,1,1,Sunset Raptor,Monstrosity,CC 351
32,Hard,2,1/4,Living Shade,Fey,CC 255,1,1,Flithidir,Fey,ToB2 154
33,Hard,1,2,Hunter Shark,Beast,MM 330
34,Hard,6,1/8,Xvart,Humanoid,VGM 200,1,1/4,Frontline Medic,Humanoid,GGR 231
35,Hard,7,0,Zoog,Aberration,CC 396,1,1/2,Gazer,Aberration,VGM 126
36,Hard,3,1/8,Sniffer Beetle,Beast,ToB2 40,2,1/2,Swarm of Insects,Beast,MM 338
37,Hard,3,1/8,Expeditious Messenger,Construct,Ebb 293,3,1/4,Duodrone,Construct,MM 225
38,Hard,1,1/2,Ghoul' Beggar,Undead,ToB 213,1,1,Swarm of Zombie Limbs,Undead,VRgtR 254
39,Hard,7,0,Baboon,Beast,MM 318,2,1/4,Giant Poisonous Snake,Beast,MM 327
40,Hard,7,0,Cranium Rat,Beast,VGM 133,3,1/8,Giant Weasel,Beast,MM 329
41,Hard,3,1/8,Giant Weasel,Beast,MM 329,1,1,Giant Eagle,Beast,MM 324
42,Hard,2,1/4,Giant Bat,Beast,MM 323,1,1,Clacker Beetle Soldier,Beast,ToB3 54
43,Hard,1,2,Myconid Sovereign,Plant,MM 232
44,Hard,6,1/8,Gremishka,Monstrosity,VRgtR 235,1,1/4,Wretched Sorrowsworn,Monstrosity,MTF 233
45,Hard,7,0,Bat,Beast,MM 318,1,1/2,War Ostrich,Beast,ToB 307
46,Hard,3,1/8,Tribal Warrior,Humanoid,MM 350,2,1/2,Sahuagin,Humanoid,MM 263
47,Hard,3,1/8,Skavenslave,Humanoid,Skaven 5,3,1/4,Aarakocra,Humanoid,MM 12
48,Hard,1,1/2,Blood Imp,Fiend,ToB2 103,1,1,Inciter,Fiend,ToB3 108
49,Hard,7,0,Giant Fire Beetle,Beast,MM 325,2,1/4,Dimetrodon,Beast,VGM 139
50,Hard,7,0,Magewright,Humanoid,Ebb 318,3,1/8,Bandit,Humanoid,MM 343
51,Hard,3,1/8,Gremishka,Monstrosity,VRgtR 235,1,1,Death Dog,Monstrosity,MM 321
52,Hard,2,1/4,Winged Kobold,Humanoid,MM 195,1,1,Mantik’s Barbed,Humanoid,CC 263
53,Hard,1,2,Aurochs,Beast,VGM 207
54,Hard,6,1/8,Hoard Scarab,Monstrosity,FToD 205,1,1/4,Exploding Toad,Monstrosity,CC 150
55,Hard,7,0,Eagle,Beast,MM 322,1,1/2,Swarm of Insects,Beast,MM 338
56,Hard,3,1/8,Skavenslave,Humanoid,Skaven 5,2,1/2,Scout,Humanoid,MM 349
57,Hard,3,1/8,Guard,Humanoid,MM 347,3,1/4,Kobold Inventor,Humanoid,VGM 166
58,Hard,1,1/2,Weirding Scroll,Construct,CC 376,1,1,Carrionette,Construct,VRgtR 231
59,Hard,7,0,Myconid Sprout,Plant,MM 230,2,1/4,Alliumite,Plant,CC 13
60,Hard,7,0,Deer,Beast,MM 321,3,1/8,Camel,Beast,MM 320
61,Deadly,2,1/4,Giant Centipede,Beast,MM 323,2,1/2,Dire Rat,Beast,Skaven 15
62,Deadly,8,1/8,Giant Rat,Beast,MM 327
63,Deadly,2,1/2,Anvilwrought Raptor,Construct,MOoT 209,1,1,Carrionette,Construct,VRgtR 231
64,Deadly,4,1/8,Shroud,Undead,ToB 348,2,1/2,Cadaver Sprite,Undead,ToB2 55
65,Deadly,10,0,Meerkat,Beast,ToB3 268,2,1/4,Panther,Beast,MM 333
66,Deadly,1,1/2,Ahu-Nixta Drudge,Aberration,ToB2 10,1,2,Nothic,Aberration,MM 236
67,Deadly,10,0,Quipper,Beast,MM 335,1,1/2,Giant Goat,Beast,MM 326
68,Deadly,4,1/8,Fennec Fox,Beast,ToB2 390,1,1,Giant Vulture,Beast,MM 329
69,Deadly,2,1/4,Kuo-toa,Humanoid,MM 199,2,1/2,Goblin' Chaos-Spawn,Humanoid,CC 190
70,Deadly,8,1/8,Young Kruthik,Monstrosity,MTF 211
71,Deadly,2,1/2,Ghoul' Beggar,Undead,ToB 213,1,1,Boneless,Undead,VRgtR 228
72,Deadly,4,1/8,Blood-Toll Harpy,Monstrosity,MOoT 227,2,1/2,Alkonost,Monstrosity,CC 12
73,Deadly,10,0,Quipper,Beast,MM 335,2,1/4,Dimetrodon,Beast,VGM 139
74,Deadly,1,1/2,Gnoll,Humanoid,MM 163,1,2,Duergar Kavalrachni,Humanoid,MTF 189
75,Deadly,10,0,Shrieker,Plant,MM 138,1,1/2,Crimson Shambler,Plant,ToB2 73
76,Deadly,4,1/8,Xvart,Humanoid,VGM 200,1,1,Ratfolk Rogue,Humanoid,ToB 320
77,Deadly,2,1/4,Servitor Thrull,Construct,GGR 221,2,1/2,Greed Swarm,Construct,ToB2 184
78,Deadly,8,1/8,Mastiff,Beast,MM 332
79,Deadly,2,1/2,War Ostrich,Beast,ToB 307,1,1,Giant Snow Beetle,Beast,ToB2 39
80,Deadly,4,1/8,Pony,Beast,MM 335,2,1/2,Giant Wasp,Beast,MM 329
