1,Medium,4,0,Crab,Beast,MM 320,2,1/8,Giant Rat,Beast,MM 327
2,Medium,1,1/8,Wharfling,Beast,ToB 407,1,1/2,Black Bear,Beast,MM 318
3,Medium,2,1/8,Edjet Initiate,Humanoid,ToB2 131,1,1/2,Mydnari,Humanoid,ToB2 264
4,Medium,4,0,Bat,Beast,MM 318,1,1/4,Suturefly,Beast,ToB 372
5,Medium,4,1/8,Mastiff,Beast,MM 332
6,Medium,8,0,Eagle,Beast,MM 322
7,Medium,4,0,Giant Fire Beetle,Beast,MM 325,2,1/8,Leonino,Beast,CC 250
8,Medium,1,1/8,Tribal Warrior,Humanoid,MM 350,1,1/2,Simian' Kapi,Humanoid,CC 336
9,Medium,2,1/8,Cikavak,Beast,ToB 58,1,1/2,Brumalek,Beast,ToB3 70
10,Medium,4,0,Cranium Rat,Beast,VGM 133,1,1/4,Snake' Swamp Adder,Beast,ToB 354
11,Medium,4,1/8,Ice Bogie,Fey,ToB2 209
12,Medium,8,0,Bilby,Beast,ToB2 388
13,Medium,4,0,Baboon,Beast,MM 318,2,1/8,Pony,Beast,MM 335
14,Medium,1,1/8,Hoard Scarab,Monstrosity,FToD 205,1,1/2,Darkmantle,Monstrosity,MM 46
15,Medium,2,1/8,Young Kruthik,Monstrosity,MTF 211,1,1/2,Chitine,Monstrosity,VGM 131
16,Medium,4,0,Weasel,Beast,MM 340,1,1/4,Giant Mongoose,Beast,ToB2 393
17,Medium,4,1/8,Climbing Vine,Plant,ToB3 85
18,Medium,8,0,Zoog,Aberration,CC 396
19,Medium,4,0,Sea Horse,Beast,MM 337,2,1/8,Sniffer Beetle,Beast,ToB2 40
20,Medium,1,1/8,Merfolk,Humanoid,MM 218,1,1/2,Hybrid Spy,Humanoid,GGR 218
21,Medium,2,1/8,Young Kruthik,Monstrosity,MTF 211,1,1/2,Alkonost,Monstrosity,CC 12
22,Medium,4,0,Spider,Beast,MM 337,1,1/4,Holler Spider,Beast,ToB2 395
23,Medium,4,1/8,Expeditious Messenger,Construct,Ebb 293
24,Medium,8,0,Bat,Beast,MM 318
25,Medium,4,0,Frog,Beast,MM 322,2,1/8,Flying Snake,Beast,MM 322
26,Medium,1,1/8,Manes,Fiend,MM 60,1,1/2,Skin Bat,Fiend,ToB 87
27,Medium,2,1/8,Skavenslave,Humanoid,Skaven 5,1,1/2,Gnoll Hunter,Humanoid,VGM 154
28,Medium,4,0,Owl,Beast,MM 333,1,1/4,Alligator,Beast,ToB2 387
29,Medium,4,1/8,Ice Bogie,Fey,ToB2 209
30,Medium,8,0,Zoog,Aberration,CC 396
31,Hard,2,1/8,Pixie's Umbrella,Plant,ToB2 158,2,1/4,Alliumite,Plant,CC 13
32,Hard,4,1/8,Wharfling,Beast,ToB 407,1,1/4,Giant Gray Owl,Beast,ToB2 394
33,Hard,2,1/8,Giant Weasel,Beast,MM 329,1,1,Deinonychus,Beast,VGM 139
34,Hard,6,0,Crab,Beast,MM 320,1,1/4,Howler Baboon,Beast,ToB2 395
35,Hard,6,0,Octopus,Beast,MM 333,2,1/8,Stirge,Beast,MM 284
36,Hard,1,1/4,Dinosaur' Archaeopteryx,Beast,CC 108,1,1,Balloon Spider,Beast,ToB2 387
37,Hard,6,1/8,Cikavak,Beast,ToB 58
38,Hard,2,1/8,Sniffer Beetle,Beast,ToB2 40,2,1/4,Alligator Turtle,Beast,ToB2 387
39,Hard,4,1/8,Tribal Warrior,Humanoid,MM 350,1,1/4,Ramag,Humanoid,ToB 317
40,Hard,2,1/8,Mule,Beast,MM 333,1,1,Bastet Temple Cat,Beast,ToB 32
41,Hard,6,0,Magewright,Humanoid,Ebb 318,1,1/4,Dust Goblin,Humanoid,ToB 232
